Blah,Pnts
0.247,4.7
0.247,4.80848
0.2497,4.91947
0.2513,5.03302
0.2526,5.14919
0.2539,5.26804
0.254945,5.38964
0.25633,5.51404
0.256867,5.64131
0.2577,5.77152
0.2586,5.90473
0.2595,6.04102
0.260388,6.18046
0.261284,6.32312
0.262037,6.46906
0.262859,6.61838
0.263653,6.77114
0.264452,6.92743
0.265297,7.08733
0.2661,7.25091
0.267058,7.41827
0.268063,7.5895
0.269098,7.76468
0.270278,7.9439
0.27157,8.12725
0.272903,8.31484
0.274303,8.50676
0.275832,8.70311
0.277449,8.90399
0.279288,9.10951
0.28126,9.31977
0.283343,9.53489
0.28554,9.75497
0.287864,9.98013
0.290109,10.2105
0.292421,10.4462
0.295148,10.6873
0.29848,10.9339
0.302149,11.1863
0.306182,11.4445
0.310795,11.7087
0.316099,11.9789
0.322354,12.2554
0.329258,12.5383
0.336803,12.8277
0.345112,13.1238
0.354291,13.4267
0.365394,13.7366
0.377404,14.0537
0.39069,14.3781
0.406156,14.7099
0.422506,15.0494
0.440882,15.3968
0.459752,15.7522
0.481381,16.1158
0.510656,16.4878
0.538769,16.8683
0.569484,17.2577
0.602401,17.656
0.640086,18.0635
0.681475,18.4805
0.727195,18.907
0.776578,19.3434
0.821374,19.7899
0.843723,20.2467
0.863612,20.714
0.883845,21.1921
0.905056,21.6813
0.927815,22.1817
0.953743,22.6937
0.976803,23.2175
1.0006,23.7534
1.02658,24.3017
1.05369,24.8626
1.07929,25.4364
1.10628,26.0236
1.13216,26.6242
1.15851,27.2387
1.1835,27.8675
1.2088,28.5107
1.23254,29.1687
1.25778,29.842
1.277,30.5308
1.2972,31.2355
1.3154,31.9565
1.33241,32.6941
1.34907,33.4487
1.36706,34.2207
1.38294,35.0106
1.39122,35.8187
1.39892,36.6455
1.40676,37.4913
1.41368,38.3567
1.42,39.242
1.42808,40.1478
1.43923,41.0744
1.45089,42.0225
1.4611,42.9924
1.47255,43.9848
1.483,45
